Title,Year,Director,Rating,
Maze Runner: The Scorch Trials (2015),2015,Wes Ball,6.3,
Mad Max: Fury Road (2015),2015,George Miller,8.1,
Maggie (2015),2015,Henry Hobson,5.6,
10 Cloverfield Lane (2016),2016,Dan Trachtenberg,7.2,
Train to Busan (2016),2016,Yeon Sang-ho,7.6,
Seoul Station (2016),2016,Yeon Sang-ho,6.1,
I Am a Hero (2016),2016,Kohei Taniguchi,N/A,
The Fifth Wave (2016),2016,J Blakeson,5.2,
Cell (2016),2016,Tod Williams,4.4,
Day of Reckoning (2016),2016,Joel Novoa,3.4,
The Girl with All the Gifts (2016),2016,Colm McCarthy,6.6,
Diverge (2016),2016,James Morrison,4.6,
The Northlander (2016),2016,Benjamin Ross Hayden,3.7,
Stephanie (2017),2017,Akiva Goldsman,5.8,
It Comes at Night (2017),2017,Trey Edward Shults,6.2,
War for the Planet of the Apes (2017),2017,Matt Reeves,7.4,
Resident Evil: The Final Chapter (2017),2017,Unknown,7.6,
Resident Evil: Vendetta (2017),2017,Takanori Tsujimoto,6.2,
Everything Beautiful Is Far Away (2017),2017,Pete Ohs,5.8,
Bokeh (2017),2017,Geoffrey Orthwein,5.0,
Blade Runner 2049 (2017),2017,Denis Villeneuve,8.0,
Cargo (2017),2017,Ben Howling,6.3,
Here Alone (2017),2017,Unknown,N/A,
Deep (2017),2017,Julio Soto Gurpide,4.2,
Bird Box (2018),N/A,Unknown,N/A,
Blue World Order (2018),2017,Ché Baker,4.5,
The Domestics (2018),2018,Mike P. Nelson,5.7,
Future World (2018),2018,James Franco,3.3,
How It Ends (2018),2018,David M. Rosenthal,5.1,
I Think We're Alone Now (2018),2018,Reed Morano,5.7,
In My Room (2018),2018,Ulrich Köhler,6.2,
Maze Runner: The Death Cure (2018),2018,Wes Ball,6.3,
Mortal Engines (2018),2018,Christian Rivers,6.1,
The Night Eats the World (2018),2018,Dominique Rocher,6.0,
Patient Zero (2018),2018,Stefan Ruzowitzky,4.6,
A Quiet Place (2018),2018,John Krasinski,7.5,
Scorched Earth (2018),2018,Peter Howitt,4.4,
What Still Remains (2018),2018,Josh Mendoza,4.7,
This World Alone (2018),2018,Jordan Noel,5.3,
Blood Quantum (2019),2019,Jeff Barnaby,5.6,
Zombieland: Double Tap (2019),2019,Ruben Fleischer,6.7,
The Wandering Earth (2019),2019,Frant Gwo,5.9,
The Silence (2019),2019,John R. Leonetti,5.3,
Io (2019),2019,Jonathan Helpert,4.8,
Terminator: Dark Fate (2019),2019,Tim Miller,6.2,
Light of My Life (2019),2019,Casey Affleck,6.6,
The Lego Movie 2: The Second Part (2019),2019,Mike Mitchell,6.5,
3022 (2019),2019,John Suits,4.5,
2067 (2020),2020,Unknown,N/A,
#Alive (2020),2020,Il Cho,6.3,
Alone (2020),2020,John Hyams,6.2,
Friend of the World (2020),2020,Brian Patrick Butler,5.4,
Greenland (2020),2020,Ric Roman Waugh,6.4,
Love and Monsters (2020),2020,Michael Matthews,6.9,
Train to Busan Presents: Peninsula (2020),2020,Yeon Sang-ho,5.5,
The Midnight Sky (2020),2020,George Clooney,5.7,
Songbird (2020),2020,Adam Mason,4.8,
How It Ends (2021),2021,Zoe Lister-Jones,5.4,
Quarantine (2021),2021,Diana Ringo,7.8,
Silent Night (2021),2021,Camille Griffin,5.8,
Army of the Dead (2021),2021,Zack Snyder,5.8,
Awake (2021),2021,Mark Raso,4.9,
Don't Look Up (2021),2021,Adam McKay,7.2,
The Tomorrow War (2021),2021,Chris McKay,6.6,
Finch (2021),2021,Miguel Sapochnik,6.9,
Mother/Android (2021),2021,Mattson Tomlin,4.9,
The Mitchells vs. The Machines (2021),2021,Michael Rianda,7.6,
The Matrix Resurrections (2021),2021,Lana Wachowski,5.7,
A Quiet Place Part II (2021),2020,John Krasinski,7.2,
Resident Evil: Welcome to Raccoon City (2021),2021,Johannes Roberts,5.2,
Vesper (2022),2022,Kristina Buozyte,6.0,
Resident Evil: Death Island (2023),2023,Eiichirô Hasumi,5.7,
The Wandering Earth 2 (2023),2023,Unknown,N/A,
Bird Box Barcelona (2023),2023,David Pastor,5.3,
Zom 100: Bucket List of the Dead (2023),2023,Unknown,7.4,
The Creator (2023),2023,Gareth Edwards,6.7,
Foe (2023),2023,Garth Davis,5.4,
Leave the World Behind (2023),2023,Sam Esmail,6.4,
Arcadian (2024),2024,Benjamin Brewer,5.5,
Breathe (2024),2024,Stefon Bristol,3.9,
Kingdom of the Planet of the Apes (2024),2024,Wes Ball,6.9,
Furiosa: A Mad Max Saga (2024),2024,George Miller,7.6,
A Quiet Place: Day One (2024),2024,Michael Sarnoski,6.3,
28 Years Later (2025),2025,Danny Boyle,N/A,
